Line No.   Lexeme         TOKEN-TYPE    ATTRIBUTE
  37       4.44           57 (REAL)     0              (REAL)
  37       ;              79 (SYMBOL)   0              (Symbol)
  38       b              52 (ID)       0x7fc6e5d049c0 (ptr2symb tbl)
  38       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  38       (              75 (SYMBOL)   0              (Symbol)
  38       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  38       mod            65 (resword)  -439335744     (NULL)
  38       x              52 (ID)       0x7fc6e5d04db0 (ptr2symb tbl)
  38       )              75 (SYMBOL)   1              (Symbol)
  38       /              65 (SYMBOL)   1              (Symbol)
  38       x              52 (ID)       0x7fc6e5d04db0 (ptr2symb tbl)
  38       ;              79 (SYMBOL)   0              (Symbol)
  39       while          70 (resword)  -439335344     (NULL)
  39       (              75 (SYMBOL)   0              (Symbol)
  39       (              75 (SYMBOL)   0              (Symbol)
  39       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  39       1              57 (INTEGER)  0              (INTEGER)
  39       )              75 (SYMBOL)   1              (Symbol)
  39       and            65 (resword)  -439335664     (NULL)
  39       (              75 (SYMBOL)   0              (Symbol)
  39       (              75 (SYMBOL)   0              (Symbol)
  39       b              52 (ID)       0x7fc6e5d049c0 (ptr2symb tbl)
  39       <=             63 (RELOP)    3              (RELOP_LE)
  39       e              52 (ID)       0x7fc6e5d04ed0 (ptr2symb tbl)
  39       )              75 (SYMBOL)   1              (Symbol)
  39       or             64 (resword)  -439335904     (NULL)
  39       (              75 (SYMBOL)   0              (Symbol)
  39       not            72 (resword)  0              (NULL)
  39       (              75 (SYMBOL)   0              (Symbol)
  39       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  39       =              63 (RELOP)    0              (RELOP_EQ)
  39       c              52 (ID)       0x7fc6e5d04a50 (ptr2symb tbl)
  39       )              75 (SYMBOL)   1              (Symbol)
  39       )              75 (SYMBOL)   1              (Symbol)
  39       )              75 (SYMBOL)   1              (Symbol)
  39       )              75 (SYMBOL)   1              (Symbol)
  39       do             71 (resword)  -439335264     (NULL)
  40       begin          60 (resword)  -439336064     (NULL)
  41       c              52 (ID)       0x7fc6e5d04a50 (ptr2symb tbl)
  41       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  41       2.5E2          57 (REAL)     0              (REAL)
  42       end            61 (resword)  -439335984     (NULL)
  42       ;              79 (SYMBOL)   0              (Symbol)
  43       fun2           52 (ID)       0x7fc6e5d04d20 (ptr2symb tbl)
  43       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  43       2.5            57 (REAL)     0              (REAL)
  44       end            61 (resword)  -439335984     (NULL)
  44       ;              79 (SYMBOL)   0              (Symbol)
  46       begin          60 (resword)  -439336064     (NULL)
  47       b              52 (ID)       0x7fc6e5d049c0 (ptr2symb tbl)
  47       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  47       fun2           52 (ID)       0x7fc6e5d04d20 (ptr2symb tbl)
  47       (              75 (SYMBOL)   0              (Symbol)
  47       2              57 (INTEGER)  0              (INTEGER)
  47       ,              78 (SYMBOL)   0              (Symbol)
  47       f              52 (ID)       0x7fc6e5d04ae0 (ptr2symb tbl)
  47       [              76 (SYMBOL)   0              (Symbol)
  47       5              57 (INTEGER)  0              (INTEGER)
  47       ]              76 (SYMBOL)   1              (Symbol)
  47       )              75 (SYMBOL)   1              (Symbol)
  47       ;              79 (SYMBOL)   0              (Symbol)
  48       if             67 (resword)  -439335584     (NULL)
  48       (              75 (SYMBOL)   0              (Symbol)
  48       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  48       >              63 (RELOP)    2              (RELOP_GT)
  48       2              57 (INTEGER)  0              (INTEGER)
  48       )              75 (SYMBOL)   1              (Symbol)
  48       then           68 (resword)  -439335504     (NULL)
  48       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  48       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  48       2              57 (INTEGER)  0              (INTEGER)
  48       else           69 (resword)  -439335424     (NULL)
  48       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  48       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  48       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  48       +              64 (SYMBOL)   0              (Symbol)
  48       2              57 (INTEGER)  0              (INTEGER)
  48       ;              79 (SYMBOL)   0              (Symbol)
  49       if             67 (resword)  -439335584     (NULL)
  49       (              75 (SYMBOL)   0              (Symbol)
  49       b              52 (ID)       0x7fc6e5d049c0 (ptr2symb tbl)
  49       >              63 (RELOP)    2              (RELOP_GT)
  49       4.2            57 (REAL)     0              (REAL)
  49       )              75 (SYMBOL)   1              (Symbol)
  49       then           68 (resword)  -439335504     (NULL)
  49       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  49       :=             62 (ASSIGNOP) 0              (ASSIGNOP)
  49       c              52 (ID)       0x7fc6e5d04a50 (ptr2symb tbl)
  49       [              76 (SYMBOL)   0              (Symbol)
  49       a              52 (ID)       0x7fc6e5d04930 (ptr2symb tbl)
  49       ]              76 (SYMBOL)   1              (Symbol)
  50       end            61 (resword)  -439335984     (NULL)
  50       .              74 (SYMBOL)   -510889664     (Symbol)
           EOF            -1 (EOF)      0    (NULL)
